epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1969/70,1970-12-05,V,D1,R12,Benfica,(C),Varzim,3-0,90,2,352,388
1969/70,1970-12-13,E,D1,R13,Benfica,(F),Académica OAF,0-0,90,0,353,388
1969/70,1970-12-20,V,D1,R14,Benfica,(F),Fabril Barreiro,0-2,90,2,354,390
1969/70,1970-12-26,V,D1,R15,Benfica,(C),Sporting,5-1,90,1,355,391
1969/70,1970-12-31,V,D1,R16,Benfica,(F),Boavista FC,0-3,90,2,356,393
1969/70,1971-01-23,V,D1,R17,Benfica,(C),Vitória SC,1-0,90,1,357,394
1969/70,1971-01-30,D,D1,R18,Benfica,(F),FC Porto,4-0,90,0,358,394
1969/70,1971-02-06,V,D1,R19,Benfica,(C),Belenenses,3-1,90,1,359,395
1969/70,1971-02-16,D,EE,5,Portugal,(F),Bélgica,3-0,90,0,360,395
1969/70,1971-02-20,V,D1,R20,Benfica,(F),Tirsense,2-4,90,2,361,397
1969/70,1971-02-27,V,D1,R21,Benfica,(C),Barreirense,1-0,90,1,362,398
1969/70,1971-03-20,V,D1,R22,Benfica,(C),Farense,5-0,90,2,363,400
1969/70,1971-03-27,V,D1,R23,Benfica,(F),Leixões,1-2,90,0,364,400
1969/70,1971-04-03,V,D1,R24,Benfica,(C),Vitória FC,1-0,90,1,365,401
1970/71,1971-04-20,V,EE,5,Portugal,(C),Escócia,2-0,90,1,366,402
1969/70,1971-04-24,V,D1,R25,Benfica,(F),Varzim,0-4,90,1,367,403
1969/70,1971-05-01,V,D1,R26,Benfica,(C),Académica OAF,5-1,90,1,368,404
1970/71,1971-05-11,V,EE,5,Portugal,(C),Dinamarca,5-0,90,1,369,405
1969/70,1971-05-16,V,TP,1/16,Benfica,(C),Luso FC,11-0,22,1,370,406
1969/70,1971-05-22,V,TP,1/8,Benfica,(F),Barreirense,1-7,90,1,371,407
1969/70,1971-05-30,V,TP,QF,Benfica,(C),Independente,6-0,90,5,372,412
1969/70,1971-06-06,V,TP,QF,Benfica,(F),Independente,0-2,27,0,373,412
1969/70,1971-06-10,V,TP,SF,Benfica,(F),Tirsense,1-3,90,0,374,412
1969/70,1971-06-15,V,TP,SF,Benfica,(C),Tirsense,5-1,90,1,375,413
1969/70,1971-06-27,D,TP,F,Benfica,(N),Sporting,4-1,90,1,376,414
1970/71,1971-09-11,V,D1,R1,Benfica,(F),FC Porto,1-3,90,2,377,416
1970/71,1971-09-15,V,UCL,1R,Benfica,(F),Wacker Innsbruck 1915,0-4,90,1,378,417
1970/71,1971-09-19,E,D1,R2,Benfica,(C),Fabril Barreiro,1-1,90,0,379,417
