epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
1994,1994-11-27,V,D1,R13,PSV,(C),Feyenoord,4-1,90,2,65,61
1994,1994-12-04,E,D1,R14,PSV,(F),FC Twente,2-2,90,0,66,61
1994,1994-12-06,E,D1,R15,PSV,(C),RKC Waalwijk,2-2,90,0,67,61
1993,1994-12-22,V,AMI,JA,Brasil,(C),Iugoslávia,2-0,66,0,68,61
1994,1995-01-22,D,D1,R18,PSV,(F),Ajax,1-0,90,0,69,61
1994,1995-01-28,V,D1,R18,PSV,(C),Roda,5-0,90,2,70,63
1994,1995-02-03,V,D1,R19,PSV,(F),FC Dordrecht,0-2,90,1,71,64
1994,1995-02-11,V,D1,R20,PSV,(C),Vitesse,3-2,90,1,72,65
1994,1995-02-15,V,D1,R21,PSV,(C),Sparta Rotterdam,4-0,72,2,73,67
1994,1995-02-19,E,D1,R22,PSV,(F),Go Ahead Eagles,1-1,90,0,74,67
1994,1995-03-04,V,D1,R22,PSV,(C),NEC,3-0,90,2,75,69
1994,1995-03-07,V,D1,R23,PSV,(F),NAC Breda,1-2,90,0,76,69
1994,1995-03-11,V,D1,R24,PSV,(F),Heerenveen,1-2,90,0,77,69
1994,1995-03-18,V,D1,R25,PSV,(C),Willem II,3-2,90,1,78,70
1994,1995-04-02,D,D1,R27,PSV,(F),FC Groningen,3-2,90,1,79,71
1994,1995-04-09,V,D1,R28,PSV,(C),FC Utrecht,4-0,90,3,80,74
1994,1995-04-14,V,D1,R29,PSV,(F),MVV,2-3,90,1,81,75
1994,1995-04-29,E,D1,R30,PSV,(C),FC Volendam,1-1,90,0,82,75
1994,1995-05-07,D,D1,R31,PSV,(F),Feyenoord,3-2,90,1,83,76
1994,1995-05-13,V,D1,R32,PSV,(C),FC Twente,3-1,90,1,84,77
1994,1995-05-16,V,AMI,JA,Brasil,(F),Israel,1-2,90,0,85,77
1994,1995-05-21,V,D1,R33,PSV,(F),RKC Waalwijk,2-4,90,1,86,78
1994,1995-05-28,D,D1,R34,PSV,(C),NAC Breda,2-4,90,2,87,80
1994,1995-06-04,V,AMI,T,Brasil,(N),Suécia,1-0,90,0,88,80
1994,1995-06-06,V,AMI,T,Brasil,(F),Japão,0-3,90,0,89,80
1994,1995-06-11,V,AMI,T,Brasil,(F),Inglaterra,1-3,76,1,90,81
1994,1995-07-07,V,CA,B,Brasil,(N),Equador,1-0,5,0,91,81
1995/96,1995-08-27,D,D1,R2,PSV,(F),NAC Breda,3-0,32,0,92,81
1995/96,1995-09-09,V,D1,R3,PSV,(C),Heerenveen,5-1,75,2,93,83
1995/96,1995-09-12,E,EL,1R,PSV,(F),MyPa,1-1,90,1,94,84
1995/96,1995-09-16,V,D1,R4,PSV,(F),Vitesse,0-1,31,0,95,84
1995/96,1995-09-20,V,D1,R5,PSV,(C),FC Twente,3-0,90,2,96,86
1995/96,1995-09-23,V,D1,R6,PSV,(F),FC Volendam,0-5,79,1,97,87
1995/96,1995-09-26,V,EL,1R,PSV,(C),MyPa,7-1,90,4,98,91
1995/96,1995-10-01,V,D1,R7,PSV,(C),Feyenoord,3-0,90,1,99,92
1995/96,1995-10-04,E,D1,R8,PSV,(F),Roda,1-1,90,0,100,92
1994,1995-10-10,V,AMI,JA,Brasil,(C),Uruguai,2-0,45,2,101,94
1995/96,1995-10-28,V,D1,R12,PSV,(C),Willem II,2-0,26,0,102,94
1995/96,1995-10-30,V,EL,2R,PSV,(C),Leeds United,3-0,90,0,103,94
1995/96,1995-11-05,E,D1,R13,PSV,(F),Ajax,1-1,90,1,104,95
1995/96,1995-11-18,V,D1,R14,PSV,(C),De Graafschap,8-0,90,3,105,98
1995/96,1995-11-21,V,EL,3R,PSV,(C),Werder Bremen,2-1,73,1,106,99
1995/96,1995-11-26,V,D1,R16,PSV,(F),NEC,0-5,90,2,107,101
1995/96,1995-11-28,V,KNVB,1R,PSV,(F),FC Utrecht,0-2,90,1,108,102
1995/96,1995-12-02,D,D1,R16,PSV,(C),Sparta Rotterdam,1-2,90,0,109,102
1995/96,1995-12-05,E,EL,3R,PSV,(F),Werder Bremen,0-0,90,0,110,102
1995/96,1996-01-24,V,KNVB,1/8,PSV,(F),De Graafschap,1-3,90,0,111,102
1995/96,1996-04-28,D,D1,R33,PSV,(F),Sparta Rotterdam,2-1,45,0,112,102
1995/96,1996-05-16,V,KNVB,F,PSV,(C),Sparta Rotterdam,5-2,15,0,113,102
1996/97,1996-07-21,D,OLI,D,Brasil,(N),Japão,1-0,26,0,114,102
1996/97,1996-07-23,V,OLI,D,Brasil,(N),Hungria,3-1,74,1,115,103
1996/97,1996-07-25,V,OLI,D,Brasil,(N),Nigéria,1-0,83,1,116,104
1996/97,1996-07-28,V,OLI,QF,Brasil,(N),Gana,4-2,90,2,117,106
1996/97,1996-07-31,D,OLI,SF,Brasil,(N),Nigéria,4-3 (a.p.),85,0,118,106
1996/97,1996-08-02,V,OLI,3/4,Brasil,(N),Portugal,5-0,79,1,119,107
1996/97,1996-08-25,V,SC,F,Barcelona,(C),Atlético de Madrid,5-2,90,2,120,109
1995/96,1996-08-27,E,AMI,JA,Brasil,(F),Rússia,2-2,88,1,121,110
1995/96,1996-08-30,E,AMI,JA,Brasil,(F),Holanda,2-2,86,0,122,110
1996/97,1996-08-31,V,D1,R1,Barcelona,(F),Real Oviedo,2-4,66,0,123,110
1996/97,1996-09-06,V,D1,R2,Barcelona,(C),Espanyol,2-1,90,0,124,110
1996/97,1996-09-12,V,TT,1R,Barcelona,(C),AEK Larnaca,2-0,90,2,125,112
1996/97,1996-09-14,E,D1,R3,Barcelona,(F),Racing Santander,1-1,90,1,126,113
1996/97,1996-09-21,V,D1,R4,Barcelona,(C),Real Sociedad,3-2,90,2,127,115
1996/97,1996-09-28,V,D1,R5,Barcelona,(F),Real Zaragoza,3-5,89,2,128,117
1996/97,1996-10-01,E,D1,R6,Barcelona,(C),Tenerife,1-1,90,0,129,117
1996/97,1996-10-12,V,D1,R7,Barcelona,(F),SD Compostela,1-5,90,2,130,119
1995/96,1996-10-15,V,AMI,JA,Brasil,(C),Lituânia,3-1,90,3,131,122
1996/97,1996-10-19,V,D1,R8,Barcelona,(C),CD Logroñés,8-0,90,2,132,124
1996/97,1996-10-22,V,D1,R9,Barcelona,(F),Sevilla,0-1,90,0,133,124
1996/97,1996-10-25,V,D1,R10,Barcelona,(C),Valencia,3-2,90,3,134,127
1996/97,1996-10-31,E,TT,2R,Barcelona,(F),Crvena Zvezda,1-1,76,0,135,127
1996/97,1996-11-17,V,D1,R13,Barcelona,(C),Valladolid,6-1,59,1,136,128
1996/97,1996-11-22,D,D1,R14,Barcelona,(F),Athletic Bilbao,2-1,90,0,137,128
1996/97,1996-12-01,V,D1,R15,Barcelona,(C),CF Extremadura,3-0,74,0,138,128
1996/97,1996-12-06,D,D1,R16,Barcelona,(F),Real Madrid,2-0,90,0,139,128
1995/96,1996-12-18,V,AMI,JA,Brasil,(C),Bósnia-Herzgovina,1-0,90,1,140,129
1996/97,1996-12-21,V,D1,R17,Barcelona,(C),Celta de Vigo,1-0,90,0,141,129
1996/97,1997-01-03,V,D1,R18,Barcelona,(F),Deportivo,0-1,90,0,142,129
1996/97,1997-01-12,D,D1,R19,Barcelona,(C),Hércules,2-3,90,1,143,130
1996/97,1997-01-18,V,D1,R20,Barcelona,(F),Real Betis,2-4,90,1,144,131
