epoca,data,resultado,competicao,fase,time,mando,adversario,placar,minutos,gols_no_jogo,jogo,gols_acumulados
2018/19,2018-08-25,V,D1,R3,PSG,(C),Angers,3-1,90,1,136,66
2018/19,2018-09-01,V,D1,R4,PSG,(F),Nimes,2-4,90,1,137,67
2018/19,2018-09-06,E,UNL,1,França,(F),Alemanha,0-0,90,0,138,67
2018/19,2018-09-09,V,UNL,1,França,(C),Holanda,2-1,90,1,139,68
2018/19,2018-09-18,D,UCL,C,PSG,(F),Liverpool,3-2,90,1,140,69
2018/19,2018-09-29,V,D1,R8,PSG,(F),Nice,0-3,90,0,141,69
2018/19,2018-10-03,V,UCL,C,PSG,(C),Crvena Zvezda,6-1,76,1,142,70
2018/19,2018-10-07,V,D1,R9,PSG,(C),Lyon,5-0,90,4,143,74
2017/18,2018-10-11,E,AMI,JA,França,(C),Islândia,2-2,30,1,144,75
2018/19,2018-10-16,V,UNL,1,França,(C),Alemanha,2-1,86,0,145,75
2018/19,2018-10-20,V,D1,R10,PSG,(C),Amiens SC,5-0,90,1,146,76
2018/19,2018-10-24,E,UCL,C,PSG,(C),Napoli,2-2,90,0,147,76
2018/19,2018-10-28,V,D1,R11,PSG,(F),Marseille,0-2,28,1,148,77
2018/19,2018-11-02,V,D1,R12,PSG,(C),Lille,2-1,90,1,149,78
2018/19,2018-11-06,E,UCL,C,PSG,(F),Napoli,1-1,90,0,150,78
2018/19,2018-11-11,V,D1,R13,PSG,(F),Monaco,0-4,90,0,151,78
2018/19,2018-11-16,D,UNL,1,França,(F),Holanda,2-0,90,0,152,78
2017/18,2018-11-20,V,AMI,JA,França,(C),Uruguai,1-0,36,0,153,78
2018/19,2018-11-28,V,UCL,C,PSG,(C),Liverpool,2-1,85,0,154,78
2018/19,2018-12-02,E,D1,R15,PSG,(F),Bordeaux,2-2,90,1,155,79
2018/19,2018-12-05,E,D1,R16,PSG,(F),Strasbourg,1-1,45,0,156,79
2018/19,2018-12-11,V,UCL,C,PSG,(F),Crvena Zvezda,1-4,90,1,157,80
2018/19,2018-12-18,V,CL,1/8,PSG,(F),US Orléans,1-2,31,0,158,80
2018/19,2018-12-22,V,D1,R19,PSG,(C),Nantes,1-0,90,1,159,81
2018/19,2019-01-06,V,CF,1/32,PSG,(F),GSI Pontivy,0-4,90,1,160,82
2018/19,2019-01-09,D,CL,QF,PSG,(C),Guingamp,1-2,90,0,161,82
2018/19,2019-01-12,V,D1,R20,PSG,(F),Amiens SC,0-3,80,1,162,83
2018/19,2019-01-19,V,D1,R21,PSG,(C),Guingamp,9-0,90,3,163,86
2018/19,2019-01-27,V,D1,R22,PSG,(C),Rennes,4-1,90,1,164,87
2018/19,2019-02-03,D,D1,R23,PSG,(F),Lyon,2-1,90,0,165,87
2018/19,2019-02-06,V,CF,1/8,PSG,(F),FC Villefranche,0-3 (a.p.),58,0,166,87
2018/19,2019-02-09,V,D1,R24,PSG,(C),Bordeaux,1-0,45,0,167,87
